"ID студента",Студент,Группа,Дисциплина,Оценка,"Вид мероприятия",Преподаватель,"Дата оценки"
1,"Смирнов Александр",ИВТ-101,Веб-разработка,5,Лекция,"Петров Иван",2024-09-15
1,"Смирнов Александр",ИВТ-101,"Математический анализ",5,Экзамен,"Петров Иван",2024-02-15
1,"Смирнов Александр",ИВТ-101,"Математический анализ",5,Лекция,"Петров Иван",2023-09-15
1,"Смирнов Александр",ИВТ-101,Программирование,5,"Практическое занятие","Сидорова Мария",2023-10-05
2,"Морозова Анна",ИВТ-101,Веб-разработка,4,Лекция,"Петров Иван",2024-09-16
2,"Морозова Анна",ИВТ-101,"Математический анализ",4,Экзамен,"Петров Иван",2024-02-16
2,"Морозова Анна",ИВТ-101,"Математический анализ",4,Лекция,"Петров Иван",2023-09-16
2,"Морозова Анна",ИВТ-101,Программирование,4,"Практическое занятие","Сидорова Мария",2023-10-06
3,"Волков Дмитрий",ИВТ-102,Программирование,4,"Практическое занятие","Сидорова Мария",2023-10-10
4,"Лебедева Ольга",ПМ-201,"Теория вероятностей",5,Семинар,"Смирнов Дмитрий",2024-04-12
4,"Лебедева Ольга",ПМ-201,Физика,5,"Лабораторная работа","Иванов Алексей",2024-11-12
4,"Лебедева Ольга",ПМ-201,Физика,5,"Лабораторная работа","Иванов Алексей",2023-11-12
6,"Новикова Екатерина",ЭК-401,"Экономическая теория",4,Экзамен,"Смирнов Дмитрий",2024-12-10
6,"Новикова Екатерина",ЭК-401,"Экономическая теория",4,"Курсовая защита","Смирнов Дмитрий",2024-05-10
6,"Новикова Екатерина",ЭК-401,"Экономическая теория",4,Экзамен,"Смирнов Дмитрий",2023-12-10
8,"Павлова Наталья",ИВТ-102,"Базы данных",5,"Практическое занятие","Сидорова Мария",2024-03-05
8,"Павлова Наталья",ИВТ-102,Веб-разработка,5,"Практическое занятие","Сидорова Мария",2024-10-05
9,"Кузнецов Сергей",ПМ-201,"Базы данных",4,"Практическое занятие","Сидорова Мария",2024-03-06
9,"Кузнецов Сергей",ПМ-201,Веб-разработка,4,"Практическое занятие","Сидорова Мария",2024-10-06
10,"Николаева Ирина",Ф-301,"Базы данных",4,"Практическое занятие","Сидорова Мария",2024-03-10
10,"Николаева Ирина",Ф-301,Веб-разработка,4,"Практическое занятие","Сидорова Мария",2024-10-10
